"src_latitude","src_longitude","n"
"42.2832","-71.4296","36"
"30.0198","-95.4087","82"
"3.1093","101.6995","843"
"35.65","136.0667","1"
"47.6333","18.9667","15"
"19.0667","-69.3833","12"
"42.1471","-72.8403","23"
"50.7554","-1.5666","30"
"25.0408","-77.3712","16"
"33.9372","-84.0791","44"
"51.9","-2.0833","8"
"39.4567","-76.9696","84"
"52.25","-0.8833","67"
"57.628","60.8852","107"
"48.5265","12.1575","10"
"11.1667","78.45","330"
"18.4744","-96.3697","1136"
"53.2787","-2.9013","24"
"55.9757","-3.2217","16"
"34.3285","134.053","15"
"45.0197","21.1864","34"
"-20.9104","-56.3386","24"
"-20.9373","55.2919","218"
"52.4835","13.5287","49"
"47.35","25.3667","168"
"47.9445","16.7315","1"
"35.6718","139.7672","9007"
"33.4511","-112.0774","12"
"35.6832","139.99","24"
"56.6333","36.6167","28239"
"64.6167","21.2","13"
"29.4059","-98.5078","58"
"53.7504","-1.4537","48"
"42.2949","-83.052","13"
"45.5856","-75.4208","20"
"34.7471","135.4909","7"
"42.75","13.2667","1"
"-20.3623","-41.2662","304"
"39.6146","8.8209","1172"
"27.4978","-82.4101","22"
"50.9588","22.1645","528"
"-21.5176","-48.3939","14"
"59.9727","11.0056","20"
"-6.2458","-36.2197","4"
"34.2302","135.1952","6"
"37.8615","126.7999","42850"
"33.7278","-84.2143","36"
"48.42","-123.3047","1160"
"50.1036","20.0729","10"
"-28.1926","-53.4926","14"
"-18.0504","-50.3293","12"
"42.3767","-73.7183","7"
"45.8487","9.2706","21"
"34.5199","134.2187","14"
"5.7","-55.2333","231"
"41.3789","-8.2775","10"
"26.06","83.1861","165"
"50.9078","6.9247","616"
"50.2685","19.019","6"
"22.7735","110.915","374"
"50.4986","3.2499","64"
"51.1292","17.0405","8"
"41.8833","2.5167","113"
"34.8659","136.625","4"
"28.1147","-82.3678","423"
"49.0929","8.2747","8"
"45.0951","11.4944","4"
"52.9394","4.7445","2"
"41.482","2.267","5"
"10.7738","79.4188","120"
"39.6685","-75.7048","444"
"-27.0766","-51.4935","122"
"35.9079","139.7061","5"
"46.0513","13.0443","11"
"43.6844","-80.4301","5"
"44.1428","11.1603","10"
"55.32","36.74","12"
"-15.3856","-40.6589","122"
"50.0186","19.9801","7"
"49.2327","-123.0917","2"
"37.3701","-6.3292","91"
"-26.4167","28.4667","20"
"-25.4301","-52.2367","6"
"34.6309","135.6162","1"
"43.227","-123.5158","10"
"22.72","90.2048","14"
"47.9667","17.6333","4"
"55.8037","-4.2949","7"
"-23.7152","-48.5527","6"
"22.05","72.8","63"
"41.4833","2.1833","5"
"52.2322","20.9879","12"
"54.1902","-2.6414","12"
"51.106","16.9626","4"
"45.9811","17.1558","166"
"55.1725","76.6075","6"
"56.5486","8.3102","4"
"19.0708","-102.3283","4"
"26.1656","-80.1118","18"
"-26.0521","28.0281","223"
"50.0978","19.8906","14"
"32.75","-0.5833","1"
"51.4756","7.7695","7"
"-19.5918","-48.3589","10"
"44.6176","11.6672","12"
"41.0165","-85.0976","1"
"59.9246","11.1571","14"
"35.8603","139.6722","1"
"46.0","27.2","2"
"22.3001","114.1788","2"
"-26.6687","-53.6855","2"
"52.2481","20.9888","20"
"52.1502","21.0257","4"
"35.1599","136.9015","114"
"41.3187","-81.8318","2"
"39.024","16.7454","4"
"19.2167","-70.0333","2"
"59.3877","9.1724","2"
"45.9167","16.0","4"
"40.2884","-75.341","2"
"6.2858","-73.1472","229"
"45.4166","-75.6904","31"
"39.3519","36.4098","2"
"-14.9791","-47.0926","3"
"45.6666","9.3075","7"
"37.6041","12.9689","2"
"-19.8118","-43.3284","3"
"48.2667","13.0333","3"
"23.2025","106.3821","1"
"52.2561","20.7521","2"
"46.7741","-71.2609","2"
"49.2167","143.1167","167"
"40.6702","14.7266","10"
"41.28","-72.8106","6"
"33.2858","130.5207","2"
"47.1677","-122.5024","2"
"43.3653","11.713","1"
"53.4153","14.5425","82"
"50.7857","20.6163","6"
"37.944","-120.6423","3"
"43.1898","6.0432","3"
"41.3302","-88.6947","2"
"37.2488","-84.138","5"
"26.2221","127.684","1"
"53.824","20.5142","1"
"35.5444","-0.5536","2"
"50.0145","19.9006","1"
"-31.9587","115.8711","2"
"35.3914","-1.0924","431"
"-37.6417","176.1861","12"
"41.7997","-72.2478","11"
"65.3667","64.6667","20"
"-7.391","108.335","6"
"35.6883","139.9731","1"
"33.9705","-118.4308","1"
"35.9293","139.6721","1"
"59.2667","17.8833","4"
"55.9761","-3.5991","7"
"14.5597","121.0042","1"
"34.5804","135.5471","5"
"32.8407","-83.6324","1"
"53.0737","18.6481","1"
"13.7553","-87.2067","8"
"55.2759","14.8024","14"
"55.6795","11.0886","1"
"30.6178","-89.5779","1"
"47.4511","-122.353","1"
"36.5417","4.8717","3216"
"-14.9128","-48.8774","1"
"50.9499","6.9628","2"
"-19.9934","-42.3405","2"
"44.626","-123.057","2"
"33.8998","-118.3199","2"
"43.0089","144.3713","72"
"48.25","13.45","2"
"47.3217","6.019","5"
"52.2766","20.9522","4"
"39.6444","9.0024","1"
"16.1834","-95.1871","3"
