closing_store,city,st
5616 W Vernor Hwy,Detroit,MI
The Mall Of Monroe,Monroe,MI
Meridian Mall,Okemos,MI
Bay City Mall,Bay City,MI
Alpena Mall,Alpena,MI
Sterling Ponds Shopping Center,Sterling Heights,MI
Big Rapids Commons S/C,Big Rapids,MI
8621 East Point Douglas Road,Cottage Grove,MN
Easten Shopping Center,Moorhead,MN
Medford Outlet Center,Medford,MN
Elk Park Center,Elk River,MN
11115 E Truman Rd,Independence,MO
Southtown Shopping Center,Chillicothe,MO
Truman'S Marketplace Sc,Grandview,MO
1758 S 20Th Street,Ozark,MO
Water Tower Place,Arnold,MO
Hastings Plaza,Kirksville,MO
Maryville S/C,Maryville,MO
Southpoint S/C,Sikeston,MO
Osage Beach Premium Outlets,Osage Beach,MO
Chesterfield Mall,Chesterfield,MO
North Cass Center,Belton,MO
Kirkwood Commons,Kirkwood,MO
712 Bartur St,Hattiesburg,MS
981 Brookway Blvd,Brookhaven,MS
2911 Terry Rd,Jackson,MS
Yazooville Shpg Cntr,Yazoo City,MS
North Park Mall,Ridgeland,MS
Edgewood Mall,Mccomb,MS
832 S State St,Clarksdale,MS
Bonita Lakes Mall,Meridian,MS
Shops At Mt Airy,Mount Airy,NC
Northgate Shopping Center,Fayetteville,NC
Commerce Center,New Bern,NC
Vinton Square S/C,Omaha,NE
Oak View Mall,Omaha,NE
Seacoast Shopping Center,Seabrook,NH
Rochester Marketplace,Rochester,NH
Lowes Shopping Center,East Rutherford,NJ
Marlton Crossing,Marlton,NJ
Mid State Mall,East Brunswick,NJ
Phillipsburg Mall,Phillipsburg,NJ
574 Bloomfield Ave,Bloomfield,NJ
Acme Plaza,Cape May Court House,NJ
Marlboro Plaza,Englishtown,NJ
Sycamore Plaza,Albuquerque,NM
501 S Main St,Roswell,NM
Mills Plaza Shpg Cntr,Las Vegas,NM
Roswell Center,Roswell,NM
White Sands Mall,Alamogordo,NM
Carson Valley Fair S/C,Gardnerville,NV
Harriman Commons,Monroe,NY
29 W Fordham Rd,Bronx,NY
Delaware Plaza,Delmar,NY
Shoppingtown Mall,Dewitt,NY
Northern Lights S/C,North Syracuse,NY
Great Northern Mall,Clay,NY
St Lawrence Centre,Massena,NY
Eastern Hills Shopping Center,Williamsville,NY
137 State Route 104,Oswego,NY
45 E Main St,Patchogue,NY
Yorktown Green Shopping Center,Yorktown Heights,NY
219 West 34Th Street #223,New York,NY
Century 21 Plaza,Westbury,NY
Roosevelt Field Mall,Garden City,NY
South Shore Commons,Staten Island,NY
5999 S Park Avenue,Hamburg,NY
301 Meadow Drive,North Tonawanda,NY
Panorama Plaza,Rochester,NY
Aurora Village Sc,East Aurora,NY
3189 County Rd 10,Canandaigua,NY
Genesee Valley Sc,Geneseo,NY
Eastgate Plaza,Williamsville,NY
642 Race St,Cincinnati,OH
Delhi Shopping Center,Cincinnati,OH
